file                count     gpu_time    cpu_time    sort_time   
test_001.in         100000    0.030       0.019       0.005       
test_002.in         200000    0.037       0.038       0.010       
test_003.in         400000    0.042       0.081       0.021       
test_004.in         800000    0.059       0.171       0.044       
test_005.in         1600000   0.097       0.363       0.087       
test_006.in         3200000   0.220       0.768       0.174       
test_007.in         6400000   0.456       1.666       0.361       
test_008.in         12800000  0.952       3.541       0.689       
test_009.in         25600000  2.063       7.348       1.384       
test_010.in         51200000  4.117       15.658      2.791       
